January,February,March,April,May,June,July,August,September,October
1013.28,1030.96,1012.84,1003.97,1019.61,1011.99,1010.33,1012.57,1018.05,1019.65
1013.18,1029.26,1010.94,1011.52,1011.42,1014.77,1009.45,1009.21,1014.43,1013.08
1002.27,1022.59,1010.77,1012.26,1011.35,1014.53,1009.59,1012.03,1016.46,1011.45
1007.72,1020.46,1008.06,1017.11,1013.14,1013.01,1011.55,1013.01,1015.92,1011.01
1010.1,1015.58,1014.87,1019.48,1013.08,1014.84,1014.87,1014.33,1014.63,1012.74
1006.07,1015.31,1017.27,1019.0,1009.93,1017.04,1013.18,1014.33,1015.01,1012.09
1011.55,1011.75,1020.36,1020.66,1015.48,1016.43,1013.79,1014.29,1016.9,1014.02
1026.32,1004.88,1020.46,1019.34,1020.02,1016.12,1017.0,1015.11,1014.94,1012.64
1034.21,1000.44,1017.82,1014.46,1021.54,1007.79,1018.09,1017.14,1007.52,1005.42
1034.65,995.87,1010.98,1027.33,1021.41,1006.13,1016.56,1019.58,1009.86,1004.74
1031.67,999.23,1006.4,1030.35,1020.09,1013.68,1015.07,1020.22,1009.82,1017.41
1027.16,1007.83,1012.8,1031.19,1019.24,1016.63,1014.23,1016.94,1009.52,1020.97
1024.52,1021.34,1016.73,1027.4,1019.78,1016.26,1010.7,1011.89,1007.35,1018.39
1013.52,1024.59,1017.38,1022.35,1015.28,1016.43,1012.33,1012.6,1005.93,1021.44
1004.24,1024.15,1016.63,1014.97,1015.21,1014.4,1013.38,1015.28,1012.57,1026.96
1012.26,1023.98,1018.26,1007.35,1016.06,1012.77,1013.38,1015.82,1015.68,
1011.11,1031.6,1022.05,1006.17,1013.21,1016.12,1018.22,1012.53,1022.69,
1000.31,1033.16,1019.27,1013.96,1015.11,1017.24,1019.81,1011.08,1023.44,
1024.79,1026.65,1023.37,1014.84,1012.67,1014.23,1018.97,1012.5,1022.05,
1032.45,1025.0,1023.95,1014.46,1012.87,1019.85,1013.82,1012.53,1024.66,
1035.02,1024.89,1021.54,1015.85,1011.99,1018.73,1009.05,1014.87,1025.16,
1034.31,1016.33,1019.51,1019.88,1011.55,1013.55,1013.45,1016.29,1022.39,
1030.58,1003.02,1013.35,1019.75,1015.51,1015.31,1015.99,1015.75,1016.12,
1030.04,1011.11,1007.79,1007.69,1018.8,1016.6,1013.99,1016.9,1011.28,
1023.34,1011.48,1009.21,1010.98,1019.65,1016.73,1013.96,1015.38,1013.89,
1026.01,1009.76,1008.98,1012.91,1020.36,1014.84,1014.43,1017.07,1010.77,
1033.66,1015.07,1001.16,1017.14,1020.22,1011.75,1016.16,1018.73,1009.21,
1038.07,1020.39,1004.81,1019.54,1016.12,1016.39,1021.68,1019.75,1017.78,
1039.79,1020.29,1011.89,1023.67,1015.21,1017.44,1022.46,1018.22,1025.5,
1039.76,1009.01,1024.22,1009.15,1012.84,1020.36,1017.95,1024.86,,
1036.92,1005.42,1006.71,1016.63,1018.05,,,,,
