Country_ID,gGDPc,gGDPc_A,gGDPc_Y
BE,-0.76,-0.539151841,-0.228334961
BG,-1.26,-0.567161855,-0.699532113
CZ,-1.87,-1.090565877,-0.800429086
DK,-0.5,-0.294125721,-0.215423383
DE,-0.93,-0.544176472,-0.392496309
EE,-1.83,-1.22603979,-0.627406539
IE,-1.77,-1.251475678,-0.542273483
EL,-0.3,-0.107876625,-0.193325598
ES,-0.46,-0.224046199,-0.244826281
FR,-0.51,-0.329784105,-0.191524489
HR,-0.61,-0.272589115,-0.340801839
IT,-0.74,-0.403217597,-0.341623135
CY,-5.98,-4.024323346,-2.028184719
LV,-1.82,-1.109913579,-0.727091141
LT,-1.82,-1.023346756,-0.816367075
LU,-1.24,-0.831305774,-0.420770294
HU,-1.44,-0.839634206,-0.611598107
MT,-0.86,-0.446967477,-0.425244971
NL,-0.82,-0.538175772,-0.295210445
AT,-0.93,-0.571277136,-0.370165062
PL,-1.37,-0.90621968,-0.483182066
PT,-0.34,-0.200865836,-0.14601191
RO,-0.53,-0.30486764,-0.229762728
SI,-2.04,-1.046593624,-1.011989967
SK,-1.37,-0.799655817,-0.584241791
FI,-1.77,-1.151940199,-0.639053314
SE,-0.58,-0.371521183,-0.216628597
UK,-0.1,-0.066064295,-0.030218232
US,-0.05,-0.032028494,-0.01846079
CH,-0.22,-0.135617289,-0.085144035
NO,-0.25,-0.185318956,-0.070669378
RU,-9.86,-8.060588868,-1.842839213
TR,-0.13,-0.083319401,-0.047603536
CA,-0.03,-0.022165771,-0.010352346
MX,-0.02,-0.015246735,-0.00803072
AR,-0.03,-0.015476906,-0.010037281
BR,-0.04,-0.025772957,-0.013977707
ZA,-0.09,-0.063662176,-0.031631083
AU,-0.03,-0.019575333,-0.008596045
SA,-0.09,-0.062226886,-0.024295393
ID,-0.03,-0.021226679,-0.011219331
CN,-0.05,-0.034364329,-0.017459958
IN,-0.04,-0.02933098,-0.015013885
JP,-0.04,-0.023686974,-0.012256279
KR,-0.07,-0.044759195,-0.024760763
WRL_REST,-0.12,-0.083438306,-0.036014804
