# Real GDP per capita, constant 2011 international $
# Source: teaching extract. ':' = not available
"country";"1992";"1997";"2002";"2007"
"Algeria";":";"4 797,3";"5 288,0";"6 223,4"
"Argentina";"9 308,4";"10 967,3";"8 797,6";"12 779,4"
"Bahrain";"19 035,6";"20 292,0";"23 403,6";"29 796,0"
"Bangladesh";":";"972,8";"1 136,4";"1 391,3"
" Belgium ";"25 575,6";"27 561,2";"30 485,9";"33 692,6"
"Bolivia";"2 961,7";"3 326,1";":";"3 822,1"
" Burkina Faso ";"931,8";"946,3";"1 037,6";"1 217,0"
" Burundi ";"631,7";":";"446,4";"430,1"
"Comoros";"1 246,9";"1 173,6";"1 075,8";"986,1"
" Congo, Rep. ";"4 016,2";"3 484,2";"3 484,1";"3 632,6"
" Cote d'Ivoire ";"1 648,1";"1 786,3";"1 648,8";"1 544,8"
"Czech Republic";"14 297,0";"16 048,5";"17 596,2";"22 833,3"
"Denmark";"26 406,7";"29 804,3";"32 166,5";"35 278,4"
" Djibouti ";"2 377,2";"1 895,0";"1 908,3";"2 082,5"
"Ecuador";"7 103,7";":";"5 773,0";"6 873,3"
"Eritrea";"582,9";"913,5";"765,4";"641,4"
"Finland";"20 647,2";"23 724,0";"28 204,6";"33 207,1"
" France ";"24 703,8";"25 889,8";"28 926,0";"30 470,0"
"Gambia";"665,6";"653,7";"660,6";"752,7"
"Germany";"26 505,3";"27 788,9";"30 035,8";"32 170,4"
" Greece ";"17 541,5";"18 747,7";"22 514,3";"27 538,4"
"Guinea";"794,3";"869,4";"945,6";"942,7"
"Haiti";"1 456,3";"1 341,7";"1 270,4";"1 201,6"
"Hong Kong, China";"24 757,6";"28 377,6";"30 209,0";":"
" Iceland ";"25 144,4";"28 061,1";"31 163,2";":"
" Iran ";"7 235,7";"8 263,6";"9 240,8";"11 605,7"
"Ireland";"17 558,8";"24 521,9";"34 077,0";"40 676,0"
" Israel ";"18 051,5";"20 896,6";"21 905,6";"25 523,3"
" Jamaica ";"7 404,9";"7 121,9";"6 994,8";":"
"Jordan";"3 431,6";"3 645,4";"3 844,9";"4 519,5"
"Kenya";"1 341,9";"1 360,5";"1 287,5";":"
"Korea, Rep.";"12 104,3";"15 993,5";"19 234,0";"23 348,1"
"Lebanon";"6 890,8";"8 755,0";"9 313,9";"10 461,1"
"Malaysia";"7 277,9";"10 132,9";"10 207,0";"12 451,7"
"Mauritius";"6 058,3";"7 425,7";"9 021,8";"10 957,0"
"Myanmar";"347,0";"415,0";"611,0";"944,0"
"Netherlands";"26 790,9";"30 246,1";"33 724,8";"36 797,9"
" Nicaragua ";":";"2 253,0";"2 474,5";"2 749,3"
" Nigeria ";"1 619,8";"1 624,9";"1 615,3";"2 014,0"
"Pakistan";"1 971,8";"2 049,4";"2 092,7";"2 605,9"
"Panama";"6 618,7";"7 113,7";"7 356,0";"9 809,2"
" Paraguay ";"4 196,4";"4 247,4";"3 783,7";"4 172,8"
" Peru ";"4 446,4";"5 838,3";"5 909,0";"7 408,9"
" Portugal ";"16 207,3";"17 641,0";":";"20 509,6"
"Rwanda";":";"589,9";"785,7";"863,1"
"Saudi Arabia";"24 841,6";"20 586,7";"19 014,5";"21 654,8"
"Senegal";"1 367,9";"1 392,4";"1 519,6";"1 712,5"
"Sierra Leone";"1 068,7";"574,6";"699,5";"862,5"
"Spain";"18 603,1";"20 445,3";"24 835,5";"28 821,1"
"Sri Lanka";"2 153,7";"2 664,5";"3 015,4";"3 970,1"
"Sudan";"1 492,2";"1 632,2";"1 993,4";"2 602,4"
" Taiwan ";"15 215,7";"20 206,8";"23 235,4";"28 718,3"
" Tanzania ";"825,7";"789,2";"899,1";"1 107,5"
"Thailand";"4 616,9";"5 852,6";"5 913,2";"7 458,4"
"Togo";"1 034,3";"982,3";"886,2";"883,0"
" Turkey ";"5 678,3";"6 601,4";"6 508,1";"8 458,3"
" Uganda ";"644,2";"816,6";"927,7";"1 056,4"
"Venezuela";"10 733,9";"10 165,5";"8 605,0";"11 415,8"
" Yemen, Rep. ";"1 879,5";"2 117,5";"2 234,8";"2 280,8"
"Zimbabwe";"693,4";"792,4";"672,0";"469,7"

"Footnote: figures for 2007 are provisional."
