country,year,pop
Djibouti,2007,496374
Belgium,1992,10045622
Turkey,1992,58179144
"Yemen, Rep.",2007,22211743
Algeria,2007,33333216
Nicaragua,2002,5146848
Uganda,2007,29170398
South Korea,2007,49044790
Guinea,2007,n/a
Iceland,2002,288030
Mauritius,2002,1200206
Nicaragua,1997,4609572
Malaysia,1997,20476091
Bolivia,1997,7693188
"Congo, Rep.",1997,n/a
Comoros,1992,454429
Burundi,1992,5809236
Finland,2007,5238460
Spain,2007,40448191
Belgium,2002,10311970
Finland,2002,5193039
Eritrea,2002,4414865
Argentina,1992,33958947
France,1997,58623428
Kenya,2002,31386842
Tanzania,2002,34593779
Bangladesh,2002,135656790
Sudan,1997,32160729
Uganda,1992,18252190
Cote d'Ivoire,2002,16252726
Djibouti,2002,447416
Panama,2007,3242173
Belgium,1997,10199787
Burundi,2007,8390505
Taiwan,2007,23174294
Thailand,2007,65068149
Togo,1992,3747553
Burundi,1997,6121610
Venezuela,1992,20265563
Sri Lanka,1997,18698655
Cote d'Ivoire,2007,18013409
"Hong Kong, China",1992,n/a
Venezuela,2002,24287670
Jordan,1997,4526235
Spain,1992,39549438
"Iran, Islamic Rep.",1992,60397973
Tanzania,1992,26605473
Venezuela,1997,22374398
Israel,1997,5531387
Taiwan,1992,20686918
Portugal,1992,9927680
Turkey,2002,67308928
Lebanon,1997,3430388
Jamaica,1997,2531311
Czechia,2007,10228744
Eritrea,1997,4058319
Bangladesh,1997,n/a
Czechia,2002,10256295
Kenya,1992,25020539
Paraguay,2007,6667147
Ireland,2002,3879155
Jordan,2002,5307470
Gambia,1997,1235767
Sierra Leone,1997,4578212
Malaysia,2002,22662365
Senegal,1992,8307920
Bolivia,2002,8445134
France,1997,58623428
Saudi Arabia,1992,n/a
Thailand,1997,60216677
Burkina Faso,1997,10352843
Sudan,2007,42292929
Germany,2002,82350671
Cote d'Ivoire,1997,14625967
Portugal,2002,10433867
Burkina Faso,2007,14326203
Bolivia,2007,9119152
Argentina,2007,40301927
Myanmar,2007,47761980
Finland,1992,5041039
Malaysia,1992,18319502
Portugal,1997,10156415
Senegal,2007,12267493
Guinea,1992,n/a
Lebanon,1992,3219994
Denmark,1997,5283663
Zimbabwe,1992,10704340
Burundi,2002,7021078
Djibouti,1992,n/a
Comoros,2002,614382
Kenya,2007,35610177
Finland,1997,5134406
Myanmar,1992,40546538
Saudi Arabia,2007,27601038
Bangladesh,1992,113704579
Algeria,1992,26298373
Sri Lanka,2007,20378239
Haiti,1997,6913545
Peru,1997,24748122
"Congo, Rep.",2002,3328795
Rwanda,1992,7290203
Mauritius,1992,1096202
Paraguay,1992,4483945
Saudi Arabia,2007,27601038
Bahrain,1992,529491
Denmark,2002,5374693
Togo,1997,4320890
Netherlands,2007,16570613
"Congo, Rep.",2007,3800610
Sudan,1992,28227588
Algeria,1997,n/a
Taiwan,1997,21628605
Bahrain,2007,708573
Algeria,2002,31287142
Djibouti,1992,n/a
Ecuador,1997,n/a
Tanzania,1997,30686889
Senegal,1997,9535314
Tanzania,2007,38139640
Saudi Arabia,1997,21229759
Sierra Leone,2007,6144562
Pakistan,2007,169270617
Netherlands,1997,15604464
Germany,2007,82400996
Kenya,1997,28263827
Eritrea,2007,4906585
Nicaragua,2002,5146848
Pakistan,1997,135564834
"Yemen, Rep.",1997,15826497
Israel,2002,6029529
Panama,1997,2734531
Sri Lanka,2002,19576783
Guinea,1997,8048834
Cote d'Ivoire,1992,12772596
Panama,1992,2484997
Togo,2002,4977378
Sri Lanka,1992,17587060
"Hong Kong, China",2007,n/a
Spain,2002,40152517
"Congo, Rep.",1992,2409073
Zimbabwe,2007,12311143
Iceland,1997,271192
Ecuador,2007,13755680
Rwanda,1997,7212583
Paraguay,1997,5154123
"Yemen, Rep.",1992,13367997
Ecuador,2002,n/a
Argentina,1997,36203463
Peru,1992,22430449
Nicaragua,2007,5675356
Myanmar,1997,43247867
Uganda,2002,24739869
"Hong Kong, China",1997,6495918
France,2007,61083916
Germany,1997,82011073
Burkina Faso,2002,12251209
Greece,2007,10706290
Thailand,2002,62806748
Burundi,2002,7021078
South Korea,2002,47969150
Sierra Leone,1992,4260884
Malaysia,2007,24821286
Paraguay,2002,5884491
Jamaica,2002,2664659
"Iran, Islamic Rep.",2007,69453570
Spain,1997,39855442
Jordan,1992,3867409
Burkina Faso,1992,8878303
Thailand,1992,56667095
Peru,2002,26769436
Comoros,2007,710960
Comoros,1997,527982
South Korea,1992,43805450
Portugal,2007,10642836
Nigeria,1992,93364244
Ireland,1992,3557761
Israel,2007,6426679
Belgium,2007,10392226
Argentina,2002,38331121
Denmark,1992,5171393
Eritrea,1992,3668440
Lebanon,2002,3677780
Bahrain,1997,598561
Rwanda,2007,8860588
Djibouti,1997,417908
Nicaragua,1992,4017939
Netherlands,2002,16122830
Gambia,2007,1688359
Senegal,2002,10870037
Gambia,1992,1025384
Turkey,1997,n/a
Uganda,1997,21210254
Greece,1992,10325429
"Iran, Islamic Rep.",1997,63327987
Saudi Arabia,2002,24501530
France,1992,57374179
Jamaica,2007,2780132
Czechia,1992,10315702
Guinea,2002,8807818
Haiti,2007,8502814
Sierra Leone,2002,5359092
Portugal,2002,10433867
Turkey,2007,71158647
Finland,2007,5238460
Bahrain,2002,656397
Germany,1992,80597764
Taiwan,2002,22454239
Nigeria,1997,106207839
France,2002,59925035
Mauritius,1997,1149818
Bolivia,1992,6893451
Lebanon,2007,3921278
Rwanda,2002,7852401
"Yemen, Rep.",2002,18701257
Iceland,1992,259012
Haiti,1992,6326682
Nigeria,2007,135031164
South Korea,1997,46173816
Mauritius,2007,1250882
Panama,2002,2990875
Peru,2007,n/a
Bangladesh,2007,150448339
Ireland,1997,3667233
Ireland,2007,n/a
Gambia,2002,1457766
Pakistan,2002,153403524
Netherlands,1992,15174244
"Hong Kong, China",2002,6762476
Sudan,2002,37090298
Pakistan,1992,120065004
Iceland,2007,301931
Myanmar,2002,45598081
Venezuela,2007,26084662
Zimbabwe,1997,11404948
Denmark,2007,5468120
Nigeria,2002,119901274
Panama,1997,2734531
Jordan,2007,6053193
"Iran, Islamic Rep.",2002,66907826
Czechia,1997,10300707
Greece,2002,n/a
Jamaica,1992,2378618
Togo,2007,5701579
Ecuador,1992,10748394
Greece,1997,10502372
Israel,1992,4936550
Haiti,2002,7607651
Zimbabwe,2002,11926563
